Date,price,addressline1,addressline2,po,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType
Mar-22,949000,1032 Belmont Road,"Belmont, Nova Scotia B0N2A0",B0N2A0,4,5,5,Single Family,House,2,Belmont,Freehold,10 - 49 acres,2016,"Garage, Detached Garage, Gravel",3 days,,3590,"Cooktop - Electric, Oven - Electric, Range - Electric, Dishwasher, Dryer - Electric, Washer, Freezer - Chest, Microwave Range Hood Combo, Water purifier, Water softener",Concrete Slab,Detached,Other,
Mar-22,3999900,Lot 1 79 Shore Drive,"Bedford, Nova Scotia B4A2E9",B4A2E9,3,5,6,Single Family,House,2,Bedford,Freehold,under 1/2 acre,2022,"Garage, Attached Garage",3 days,,5268,None,Poured Concrete,Detached,,
Mar-22,449900,107 87 Pebblecreek Crescent,"Dartmouth, Nova Scotia B2W0J9",B2W0J9,2,2,2,Single Family,Apartment,1,Dartmouth,Condominium/Strata,,2011,"Garage, Underground",3 days,,1255,"Range, Washer/Dryer Combo, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None
Mar-22,929000,64 Skipper Hill Drive,"Chester Basin, Nova Scotia B0J1K0",B0J1K0,4,4,2,Single Family,House,2,Chester Basin,Freehold,1 - 3 acres,2018,"Garage, Attached Garage, Gravel",3 days,,2614,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Wine Fridge, Water softener",Concrete Slab,Detached,,None
Mar-22,489900,151 Lier Ridge,"Halifax, Nova Scotia B3P0E1",B3P0E1,3,3,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2018,"Garage, Attached Garage, Parking Space(s)",3 days,"Oct 15, 2018 Sold $287,300",1864,"Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,2 Level,
Mar-22,299900,63 Jeep Crescent,"Eastern Passage, Nova Scotia B3G1P3",B3G1P3,1,3,2,Single Family,House,1,Eastern Passage,Freehold,1/2 - 1 acre,2001,,3 days,,1440,,Poured Concrete,Detached,,Full (Finished)
Mar-22,279900,361 Arklow Drive,"Cole Harbour, Nova Scotia B2W4S1",B2W4S1,3,3,1,Single Family,Row / Townhouse,2,Cole Harbour,Freehold,under 1/2 acre,1978,,3 days,,1200,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,,
Mar-22,395000,570 Indian Road,"Upper Nine Mile River, Nova Scotia B2S3E2",B2S3E2,4,4,2,Single Family,House,2,Upper Nine Mile River,Freehold,1 - 3 acres,1992,"Garage, Detached Garage, Gravel, Parking Space(s)",3 days,,1944,"Cooktop, Oven, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,449000,1657 Highway 311,"Central North River, Nova Scotia B6L6E8",B6L6E8,3,3,2,Single Family,House,1,Central North River,Freehold,1 - 3 acres,1995,"Garage, Attached Garage, Gravel, Parking Space(s)",3 days,,2288,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full (Finished)
Mar-22,149999,59 Duke Street,"New Glasgow, Nova Scotia B2H1R2",B2H1R2,3,3,1,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,1915,Gravel,4 days,"Oct 2, 2015 Sold $112,000",960,"Stove, Dryer, Washer, Refrigerator",Stone,Detached,,Full (Unfinished)
Mar-22,129000,10 Bob Lee Drive,"Bible Hill, Nova Scotia B2N4J2",B2N4J2,2,2,1,Single Family,Mobile Home,1,Bible Hill,Freehold,,1989,Gravel,4 days,,840,"Stove, Refrigerator",,,Mini,None
Mar-22,899000,315 Clivedon Court,"Fall River, Nova Scotia B2T0L5",B2T0L5,3,4,4,Single Family,House,2,Fall River,Freehold,1 - 3 acres,2019,"Garage, Attached Garage",4 days,"May 6, 2021 Sold $765,000",3300,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,599900,140 Willowhill Ridge,"Waverley, Nova Scotia B2R1X3",B2R1X3,3,4,3,Single Family,House,1,Waverley,Freehold,1 - 3 acres,,"Garage, Attached Garage",4 days,"May 22, 2012 Sold $415,000",3059,"Range, Stove, Dishwasher, Dryer, Washer, Refrigerator, Wine Fridge, Central Vacuum",Poured Concrete,Detached,Character,
Mar-22,649900,497 Highway 1,"Mount Uniacke, Nova Scotia B0N1Z0",B0N1Z0,3,3,2,Single Family,House,2,Mount Uniacke,Freehold,under 1/2 acre,,Gravel,4 days,,1444,"Stove, Dishwasher, Washer/Dryer Combo, Microwave Range Hood Combo, Refrigerator",Concrete Slab,Detached,,None
Mar-22,309000,27 Westridge Drive,"Halifax, Nova Scotia B3M1K6",B3M1K6,3,3,2,Single Family,Row / Townhouse,2,Halifax,Condominium/Strata,,1973,Parking Space(s),4 days,,1602,"Stove, Dishwasher, Dryer, Washer, Refrigerator",,,,
Mar-22,399000,844 West Lawrencetown Road,"Lawrencetown, Nova Scotia B2Z1S6",B2Z1S6,3,5,2,Single Family,House,1,Lawrencetown,Freehold,1 - 3 acres,1976,"Garage, Detached Garage",4 days,,1440,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,549900,62A Frederick Avenue,"Fairview, Nova Scotia B3N2K6",B3N2K6,3,4,4,Single Family,House,2,Fairview,Freehold,under 1/2 acre,2012,,4 days,,2338,"Oven - Electric, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,2 Level,Full (Finished)
Mar-22,115000,1124 Monk Road,"Upper Branch, Nova Scotia B4V4Y1",B4V4Y1,2,2,1,Single Family,House,1,Upper Branch,Freehold,1 - 3 acres,2002,Gravel,4 days,,877,,,Detached,Character,None
Mar-22,1595000,5668 Ogilvie Street,"Halifax, Nova Scotia B3H1C1",B3H1C1,4,6,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2003,"Garage, Detached Garage",4 days,"Jan 12, 2016 Sold $1,115,000",3960,"Oven, Range - Gas, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,799000,703 1990 Vernon Street,"Halifax Peninsula, Nova Scotia B3H0B8",B3H0B8,2,2,2,Single Family,Apartment,1,Halifax Peninsula,Condominium/Strata,,2018,"Garage, Underground, Parking Space(s)",4 days,,1140,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None
Mar-22,595000,11 Castleton Crescent,"Dartmouth, Nova Scotia B2X3N9",B2X3N9,4,4,4,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1985,"Garage, Detached Garage",4 days,,3964,,Poured Concrete,Detached,,Full (Partially finished)
Mar-22,399900,1158 Avondale Road,"Poplar Grove, Nova Scotia B0N2A0",B0N2A0,3,3,2,Single Family,House,2,Poplar Grove,Freehold,1 - 3 acres,1986,"Garage, Detached Garage, Gravel",4 days,"Sep 18, 2015 Sold $215,000",1819,"Cooktop, Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,274700,9230 Sherbrooke Road,"Thorburn, Nova Scotia B0K1W0",B0K1W0,3,3,3,Single Family,House,2,Thorburn,Freehold,1 - 3 acres,,"Garage, Detached Garage",4 days,,1746,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished)
Mar-22,140000,62 MacDonald Street,"Truro, Nova Scotia B2N1T3",B2N1T3,3,3,1,Single Family,House,2,Truro,Freehold,under 1/2 acre,,Garage,4 days,,1056,,Poured Concrete,Detached,,Full (Unfinished)
Mar-22,699000,277 Laurel Ridge,"Beaver Bank, Nova Scotia B4G1H7",B4G1H7,3,3,3,Single Family,House,1,Beaver Bank,Freehold,1 - 3 acres,,"Garage, Attached Garage",4 days,"Feb 28, 2006 Sold $287,344",3221,,Poured Concrete,Detached,Character,
Mar-22,369900,515 Bluenose Avenue,"Meadowvale, Nova Scotia B0P1R0",B0P1R0,2,3,2,Single Family,House,1,Meadowvale,Freehold,1/2 - 1 acre,1990,"Garage, Detached Garage",4 days,"Aug 3, 2021 Sold $260,000",1764,"Range - Electric, Dryer, Washer, Refrigerator, Hot Tub",Poured Concrete,Detached,,Full (Finished)
Mar-22,349000,2239 Langille Drive,"Coldbrook, Nova Scotia B4R1C3",B4R1C3,3,3,3,Single Family,House,1,Coldbrook,Freehold,under 1/2 acre,2004,Gravel,4 days,"Feb 25, 2010 Sold $200,000",2028,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,309900,26 Batten Crescent,"Sackville, Nova Scotia B4E3G6",B4E3G6,0,3,2,Single Family,House,1,Sackville,Freehold,under 1/2 acre,2000,,4 days,"Aug 2, 2012 Sold $201,900",1536,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished)
Mar-22,119000,1156 Susan Drive,"Beaver Bank, Nova Scotia B4E1P1",B4E1P1,3,3,1,Single Family,Mobile Home,1,Beaver Bank,Leasehold,Unknown,1997,,4 days,,896,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,,Mini,None
Mar-22,1330000,5750 Southwood Drive,"Halifax, Nova Scotia B3H4P4",B3H4P4,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,,Garage,4 days,,3700,Central Vacuum,Poured Concrete,Detached,,
Mar-22,329900,212 5221 Cornwallis Street,"Halifax, Nova Scotia B3K0B6",B3K0B6,1,1,1,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,2008,"Garage, Attached Garage, Underground",4 days,"Jul 28, 2016 Sold $231,500",720,"Range - Electric, Dishwasher, Refrigerator",Poured Concrete,,,None
Mar-22,519900,40 Windrock Drive,"Bedford, Nova Scotia B4A3E4",B4A3E4,3,4,3,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1987,Garage,4 days,"Jun 18, 2018 Sold $320,000",2644,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,369900,24 Grayson Court,"Lower Sackville, Nova Scotia B4C0A8",B4C0A8,0,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,2007,Gravel,4 days,,1428,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,
Mar-22,429000,49 Ascot Way,"Lower Sackville, Nova Scotia B4E2J1",B4E2J1,4,5,3,Single Family,House,2,Lower Sackville,Freehold,under 1/2 acre,1988,,4 days,"Jan 5, 2021 Sold $341,500",2786,,Poured Concrete,Detached,Cape Cod,Full (Finished)
Mar-22,359900,6820 Highway 7,"Gaetz Brook, Nova Scotia B0J1N0",B0J1N0,2,3,2,Single Family,House,1,Gaetz Brook,Freehold,under 1/2 acre,1980,"Garage, Attached Garage, Gravel",4 days,"Mar 28, 2019 Sold $227,000",1900,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,
Mar-22,219900,52 Masters Avenue,"Kentville, Nova Scotia B4N2N7",B4N2N7,4,4,2,Single Family,House,2,Kentville,Freehold,under 1/2 acre,1942,Carport,4 days,"Sep 1, 2009 Sold $90,813",2076,,"Concrete Block, Poured Concrete",Detached,,
Mar-22,179900,980 Highway 236,"Scotch Village, Nova Scotia B0N2A0",B0N2A0,2,2,1,Single Family,House,1,Scotch Village,Freehold,3 - 10 acres,1970,Gravel,4 days,,800,"Stove, Dryer, Washer, Refrigerator","Concrete Block, Poured Concrete",Detached,Character,Full (Unfinished)
Mar-22,279900,21 Brookview Road,"Cole Harbour, Nova Scotia B2V2V6",B2V2V6,1,4,2,Single Family,House,1,Cole Harbour,Freehold,under 1/2 acre,2002,,4 days,"Nov 18, 2011 Sold $185,000",1360,,Poured Concrete,Semi-detached,,
Mar-22,199900,328 Highway 12,"Chester Basin, Nova Scotia B0J1K0",B0J1K0,2,2,1,Single Family,House,1,Chester Basin,Freehold,1 - 3 acres,1989,,4 days,"Nov 18, 2015 Sold $81,500",784,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Mini,Full (Unfinished)
Mar-22,149900,581 Highway #215,"Brooklyn, Nova Scotia B0N2A0",B0N2A0,2,2,1,Single Family,House,1,Brooklyn,Freehold,under 1/2 acre,,Gravel,4 days,"Jan 8, 2021 Sold $60,400",704,"Dryer, Washer",Concrete Block,Detached,Character,Full
Mar-22,209900,44 High Street,"Plymouth, Nova Scotia B0K1S0",B0K1S0,2,2,1,Single Family,House,1,Plymouth,Freehold,under 1/2 acre,,Gravel,4 days,,1134,,,Detached,Character,Crawl space
Mar-22,239900,3480 Clam Harbour Road,"Clam Harbour, Nova Scotia B0J2L0",B0J2L0,3,4,1,Single Family,House,1,Clam Harbour,Freehold,1/2 - 1 acre,2006,Gravel,4 days,"Apr 1, 2010 Sold $122,000",2003,"Stove, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,,
Mar-22,349900,23159 Highway 7,"Watt Section, Nova Scotia B0J3B0",B0J3B0,5,5,2,Single Family,House,2,Watt Section,Freehold,3 - 10 acres,1998,"Garage, Detached Garage, Gravel",4 days,,2466,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Crawl space
Mar-22,379900,25307 Highway 7,"Port Dufferin, Nova Scotia B0J2R0",B0J2R0,3,4,2,Single Family,House,2,Port Dufferin,Freehold,1 - 3 acres,2004,"Garage, Attached Garage, Detached Garage, Gravel",4 days,"Oct 29, 2020 Sold $250,000",1998,"Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,149500,18 MILLER Road,"Salmon River, Nova Scotia B2N4Y8",B2N4Y8,2,2,1,Single Family,House,1,Salmon River,Freehold,under 1/2 acre,1964,"Garage, Detached Garage",4 days,,595,"Range - Electric, Dryer - Electric, Washer, Refrigerator",Concrete Block,Detached,Character,Full (Unfinished)
Mar-22,199900,37 Sherbrooke Avenue,"Bridgewater, Nova Scotia B4V4E8",B4V4E8,2,2,2,Single Family,Mobile Home,1,Bridgewater,Freehold,,2008,Other,4 days,,1152,"Cooktop - Electric, Oven, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Water meter",,,Mini,None
Mar-22,649000,1481 Oakland Road,"Oakland, Nova Scotia B0J2E0",B0J2E0,3,3,1,Single Family,House,2,Oakland,Freehold,1 - 3 acres,1872,Garage,4 days,,1700,,Stone,Detached,Cape Cod,Full (Unfinished)
Mar-22,375000,39 Ancaster Court,"Cole Harbour, Nova Scotia B2V1J2",B2V1J2,3,4,2,Single Family,House,1,Cole Harbour,Freehold,under 1/2 acre,1973,"Garage, Attached Garage",4 days,"Jul 4, 2013 Sold $210,000",1219,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished)
Mar-22,449000,629 Herring Cove Road,"Spryfield, Nova Scotia B3R1X8",B3R1X8,3,4,3,Single Family,House,2,Spryfield,Freehold,under 1/2 acre,,,4 days,,1532,,Poured Concrete,Semi-detached,,
Mar-22,299900,56 Armbro Lane,"Cole Harbour, Nova Scotia B2V1N8",B2V1N8,3,3,2,Single Family,House,2,Cole Harbour,Freehold,under 1/2 acre,1976,,4 days,"Sep 17, 2018 Sold $173,000",1445,"Range, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Semi-detached,,
Mar-22,634900,37 Eliza Ritchie Crescent,"Rockingham, Nova Scotia B3M0K5",B3M0K5,3,4,4,Single Family,Row / Townhouse,3,Rockingham,Freehold,under 1/2 acre,2019,"Garage, Attached Garage",4 days,,2475,"Range, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,,,
Mar-22,659000,104 Angler Drive,"Herring Cove, Nova Scotia B3R0C8",B3R0C8,3,4,4,Single Family,House,2,Herring Cove,Freehold,under 1/2 acre,2021,"Garage, Attached Garage",4 days,"Dec 14, 2020 Sold $424,900",2748,"Stove, Dryer, Washer, Microwave Range Hood Combo, Fridge/Stove Combo",Poured Concrete,Detached,3 Level,Full (Finished)
Mar-22,118000,2055 EAST PRINCE Street,"Salmon River, Nova Scotia B6L3J3",B6L3J3,2,2,1,Single Family,House,1,Salmon River,Freehold,under 1/2 acre,,Gravel,4 days,,564,"Stove, Refrigerator",Concrete Block,Detached,Character,None
Mar-22,259900,232 Brunswick Street,"Truro, Nova Scotia B2N2J1",B2N2J1,3,3,2,Single Family,House,2,Truro,Freehold,under 1/2 acre,,"Garage, Detached Garage, Gravel",4 days,"Oct 30, 2015 Sold $57,280",1416,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished)
Mar-22,425000,103 Bucheron Crescent,"Middle Sackville, Nova Scotia B4E3E9",B4E3E9,3,3,3,Single Family,House,2,Middle Sackville,Freehold,under 1/2 acre,2000,,4 days,"Aug 8, 2008 Sold $222,000",1689,,Poured Concrete,Detached,,
Mar-22,584900,503 36 Southgate Drive,"Bedford, Nova Scotia B4A4M4",B4A4M4,2,2,2,Single Family,Apartment,1,Bedford,Condominium/Strata,,2007,"Garage, Underground",5 days,"Apr 15, 2013 Sold $330,000",1580,"Stove, Dishwasher, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,None
Mar-22,254900,60 Lavinia Drive,"Truro, Nova Scotia B2N5R3",B2N5R3,2,2,1,Single Family,House,1,Truro,Freehold,under 1/2 acre,2020,,5 days,,884,"Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Crawl space
Mar-22,749900,TH07 1048 Wellington Street,"Halifax, Nova Scotia B3H2Z8",B3H2Z8,2,2,3,Single Family,Row / Townhouse,2,Halifax,Condominium/Strata,under 1/2 acre,2021,"Garage, Underground",5 days,,1141,"Gas stove(s), Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",,,,None
Mar-22,2599000,155 Lexington Drive,"Valley, Nova Scotia B6L3T8",B6L3T8,4,5,4,Single Family,House,2,Valley,Freehold,1/2 - 1 acre,2012,"Garage, Attached Garage",5 days,,7317,"Cooktop - Propane, Oven - Electric, Dishwasher, Dryer - Electric, Washer, Freezer - Stand Up, Refrigerator, Water softener, Hot Tub, Gas stove(s)",Poured Concrete,Detached,,
Mar-22,189000,2851 Highway 320,"Poulamon, Nova Scotia B0E1K0",B0E1K0,3,6,2,Single Family,House,2,Poulamon,Freehold,under 1/2 acre,,"Garage, Detached Garage",5 days,,1250,,Concrete Block,Detached,,Crawl space
Mar-22,299900,19466 Highway 2,"Fort Ellis, Nova Scotia B0N2J0",B0N2J0,2,2,1,Single Family,House,1,Fort Ellis,Freehold,1 - 3 acres,1988,"Garage, Detached Garage, Gravel",5 days,,1008,,Poured Concrete,Detached,Character,
Mar-22,399900,5 Tynes Court,"Lower Sackville, Nova Scotia B4C3Y9",B4C3Y9,2,3,1,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,2003,Gravel,5 days,"Mar 11, 2013 Sold $205,000",1744,"Cooktop - Electric, Oven - Electric, Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,2 Level,
Mar-22,235000,9643 Commercial Street,"New Minas, Nova Scotia B4N3G6",B4N3G6,2,2,1,Single Family,House,2,New Minas,Freehold,1 - 3 acres,1952,"Garage, Detached Garage",5 days,,1448,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,287500,55 Crocker Road,"Harmony, Nova Scotia B0P1R0",B0P1R0,2,2,2,Single Family,House,1,Harmony,Freehold,3 - 10 acres,,Gravel,5 days,"Nov 9, 2020 Sold $160,000",1320,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,Detached,Character,Crawl space
Mar-22,880000,389 Waverley Road,"Dartmouth, Nova Scotia B2X2E7",B2X2E7,1,2,2,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1950,Other,5 days,,1971,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,399900,100 Samuel Danial Drive,"Eastern Passage, Nova Scotia B3G1S8",B3G1S8,3,4,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,2001,,5 days,,2113,"Stove, Dishwasher, Dryer, Washer, Freezer - Stand Up, Refrigerator",Poured Concrete,Detached,Character,
Mar-22,329900,2903 St. Margaret s Bay Road,"Timberlea, Nova Scotia B3T1H2",B3T1H2,3,3,2,Single Family,House,2,Timberlea,Freehold,under 1/2 acre,1950,Gravel,5 days,,1424,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Central Vacuum","Concrete Block, Poured Concrete",Detached,,
Mar-22,239900,1148 Blue Sac Road,"Lower Five Islands, Nova Scotia B0M1K0",B0M1K0,3,3,2,Single Family,House,1,Lower Five Islands,Freehold,1 - 3 acres,1975,"Garage, Carport",5 days,,2461,"Stove, Washer/Dryer Combo",Poured Concrete,Detached,,Full (Partially finished)
Mar-22,359000,135 The Point Road,"Blue Rocks, Nova Scotia B0J2C0",B0J2C0,3,3,1,Single Family,House,2,Blue Rocks,Freehold,under 1/2 acre,1902,Gravel,5 days,,1344,"Stove, Dryer, Washer, Refrigerator",Stone,Detached,,
Mar-22,299500,61 Lucien Drive,"Dartmouth, Nova Scotia B2W2J4",B2W2J4,3,3,2,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1969,,5 days,,1600,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,999999,923 WHITE ROCK Road,"White Rock, Nova Scotia B4P2R2",B4P2R2,3,3,1,Single Family,House,1,White Rock,Freehold,10 - 49 acres,2005,Gravel,6 days,"Jun 30, 2021 Sold $500,000",1000,,Poured Concrete,Detached,"Mini, Other",None
Mar-22,2395000,5909 Rogers Drive,"Halifax, Nova Scotia B3H1E9",B3H1E9,3,3,5,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1955,"Garage, Detached Garage, Interlocked",6 days,"Nov 30, 2006 Sold $465,000",3839,"Cooktop - Propane, Oven - Electric, Dishwasher, Refrigerator, Wine Fridge",Poured Concrete,Detached,,
Mar-22,649900,32 Hadley Crescent,"Spryfield, Nova Scotia B3N0E4",B3N0E4,4,4,4,Single Family,House,3,Spryfield,Freehold,under 1/2 acre,2021,"Garage, Attached Garage",7 days,"Nov 25, 2020 Sold $496,255",2546,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,,None
Mar-22,299900,49 Braemount Drive,"Halifax, Nova Scotia B3M3P3",B3M3P3,3,3,2,Single Family,Row / Townhouse,2,Halifax,Condominium/Strata,under 1/2 acre,1980,,7 days,,1798,"Stove, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,,,
Mar-22,759000,59 Salter Road,"Union Centre, Nova Scotia B0K2A0",B0K2A0,2,4,3,Single Family,House,1,Union Centre,Freehold,100+ acres,1988,"Garage, Attached Garage, Gravel",7 days,,2840,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full (Partially finished)
Mar-22,240000,152 Lambs Hill Road,"Parrsboro, Nova Scotia B0M1S0",B0M1S0,4,4,1,Single Family,House,2,Parrsboro,Freehold,1/2 - 1 acre,,Gravel,7 days,,1368,,Poured Concrete,Detached,,
Mar-22,399900,27 Bailey Drive,"Windsor, Nova Scotia B0N2T0",B0N2T0,3,3,2,Single Family,House,1,Windsor,Freehold,under 1/2 acre,,Gravel,7 days,,1560,"Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,850000,1114 Starr s Point Road,"Port Williams, Nova Scotia B0P1T0",B0P1T0,8,8,4,Single Family,House,1,Port Williams,Freehold,under 1/2 acre,2017,"Garage, Attached Garage, Gravel",7 days,,4600,"Range, Dishwasher, Dryer, Washer, Refrigerator",Concrete Slab,Semi-detached,Character,None
Mar-22,689900,1652 MAPLE RIDGE Road,"Lower Wolfville, Nova Scotia B4P2R1",B4P2R1,3,3,2,Single Family,House,1,Lower Wolfville,Freehold,3 - 10 acres,2008,"Garage, Attached Garage",7 days,"Jul 4, 2005 Sold $35,000",2073,Dishwasher,Concrete Slab,Detached,Character,None
Mar-22,237500,572 Pictou Road,"Valley, Nova Scotia B2N2V1",B2N2V1,2,2,1,Single Family,House,1,Valley,Freehold,under 1/2 acre,1972,"Garage, Detached Garage, Covered",7 days,"Jul 15, 2004 Sold $73,900",1081,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,385000,1710 Kingswood Lane,"Kingston, Nova Scotia B0P1R0",B0P1R0,3,4,3,Single Family,House,1,Kingston,Freehold,under 1/2 acre,,"Garage, Attached Garage",7 days,"Jul 5, 2011 Sold $190,000",2700,"Dishwasher, Dryer, Washer, Hot Tub",Poured Concrete,Detached,Character,
Mar-22,349000,1788 Meadowvale Road,"Harmony, Nova Scotia B0P1R0",B0P1R0,3,3,2,Single Family,House,1,Harmony,Freehold,1 - 3 acres,1996,"Garage, Attached Garage, Interlocked",7 days,"Sep 15, 2020 Sold $245,000",1838,"Oven - Electric, Dishwasher, Dryer, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,Character,Full (Finished)
Mar-22,224900,116 7 Jamieson Street,"Dartmouth, Nova Scotia B3A4L2",B3A4L2,2,2,1,Single Family,Apartment,1,Dartmouth,Condominium/Strata,,1976,Parking Space(s),7 days,,748,"Range - Electric, Fridge/Stove Combo",,,,None
Mar-22,194900,115 River Street,"Stellarton, Nova Scotia B0K1S0",B0K1S0,3,3,2,Single Family,House,2,Stellarton,Freehold,under 1/2 acre,,"Garage, Detached Garage",7 days,,1522,,"Concrete Block, Poured Concrete",Detached,,Full
Mar-22,429900,14 Barclay Avenue,"Halifax, Nova Scotia B3R1B2",B3R1B2,4,6,3,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2005,Parking Space(s),7 days,,2250,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,299900,17 Aldergrove Drive,"Halifax, Nova Scotia B3R1M6",B3R1M6,2,2,1,Single Family,House,1,Halifax,Freehold,under 1/2 acre,1969,Gravel,7 days,,790,"Stove, Dryer, Washer, Refrigerator",Concrete Block,Detached,Character,Crawl space
Mar-22,750000,6672 Highway 1,"Coldbrook, Nova Scotia B4R1B7",B4R1B7,3,3,3,Single Family,House,1,Coldbrook,Freehold,1/2 - 1 acre,2021,"Garage, Attached Garage, Detached Garage, Gravel, Parking Space(s)",7 days,,1704,Dishwasher,Concrete Slab,Detached,Character,None
Mar-22,459900,32 Perry Crescent,"Stewiacke, Nova Scotia B0N2L0",B0N2L0,3,3,2,Single Family,House,1,Stewiacke,Freehold,under 1/2 acre,,"Garage, Attached Garage, Gravel",7 days,,1330,,Poured Concrete,Detached,Character,None
Mar-22,329900,10 George Street,"Lower Sackville, Nova Scotia B4C2M5",B4C2M5,2,2,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1970,,7 days,,1920,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full
Mar-22,400000,672 Tupper Lake Road,"Tupper Lake, Nova Scotia B0P1G0",B0P1G0,1,3,1,Single Family,House,1,Tupper Lake,Freehold,1 - 3 acres,2013,"Garage, Detached Garage, Gravel",7 days,"Nov 4, 2016 Sold $180,000",1728,Dishwasher,Poured Concrete,Detached,Character,Full (Finished)
