Date,price,addressline1,addressline2,po,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType
Mar-22,299900,51 Stratmore Avenue,"Middle Sackville, Nova Scotia B4E3A9",B4E3A9,3,3,2,Single Family,House,1,Middle Sackville,Freehold,under 1/2 acre,1963,,2 days,,1242,,Poured Concrete,Detached,Character,Crawl space
Mar-22,335000,136 Balsam Circle,"Lower Sackville, Nova Scotia B4C1A9",B4C1A9,3,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1971,"Garage, Detached Garage",2 days,,1802,,Poured Concrete,Detached,Character,
Mar-22,189900,562 New Cheverie Road,"Riverside, Nova Scotia B0N2A0",B0N2A0,3,3,1,Single Family,House,1,Riverside,Freehold,1/2 - 1 acre,1969,"Garage, Detached Garage, Gravel",2 days,"Jul 31, 2009 Sold $60,000",864,"Stove, Washer/Dryer Combo, Refrigerator, Water softener",Poured Concrete,Detached,Character,Full (Unfinished)
Mar-22,125000,191 Lynch Road,"Newport Corner, Nova Scotia B0N1L0",B0N1L0,2,2,1,Single Family,Mobile Home,1,Newport Corner,Freehold,1/2 - 1 acre,1970,Gravel,2 days,,604,"Dryer, Washer",,,Mini,None
Mar-22,475000,31 Fairmount Road,"Halifax, Nova Scotia B3N1H5",B3N1H5,4,4,2,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1953,,2 days,"May 17, 2019 Sold $299,000",1671,"Cooktop - Propane, Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished)
Mar-22,349900,91 Brookview Drive,"Cole Harbour, Nova Scotia B2V2V6",B2V2V6,3,3,3,Single Family,House,2,Cole Harbour,Freehold,under 1/2 acre,2001,,2 days,"Apr 4, 2014 Sold $230,000",1889,,Poured Concrete,Semi-detached,,
Mar-22,624900,6080 Normandy Drive,"Halifax, Nova Scotia B3K2T1",B3K2T1,4,4,2,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1953,,2 days,,1728,"Stove, Refrigerator",Poured Concrete,Detached,,Full (Unfinished)
Mar-22,599900,1684 Walnut Street,"Halifax, Nova Scotia B3H3S4",B3H3S4,4,4,2,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1952,"Garage, Detached Garage",2 days,,2020,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full
Mar-22,362000,2358 Prospect Road,"Prospect, Nova Scotia B3T4S9",B3T4S9,3,3,1,Single Family,House,2,Prospect,Freehold,under 1/2 acre,,"Gravel, Covered",3 days,,1550,,Poured Concrete,Detached,,Full
Mar-22,649000,81 Lawlor Crescent,"Dartmouth, Nova Scotia B2Z1C1",B2Z1C1,3,4,4,Single Family,House,1,Dartmouth,Freehold,1/2 - 1 acre,2002,"Garage, Attached Garage",3 days,,3484,"Central Vacuum, Stove, Dishwasher, Dryer - Electric, Washer, Microwave, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,Character,Partial (Partially finished)
Mar-22,598000,57 Justin Drive,"Lower Branch, Nova Scotia B4V8Z2",B4V8Z2,3,3,2,Single Family,House,1,Lower Branch,Freehold,1 - 3 acres,,"Garage, Attached Garage, Gravel",3 days,,1712,,Concrete Slab,Detached,Character,None
